School Name,Start Date,End Date,Notes,Degree Name,Activities
National College of Ireland,Sep 2025,Nov 2026,,,
"Nishitha Degree College, Nizamabad (5022)",May 2020,May 2022,"A STUDY ON RAILWAY TICKET RESERVATION SYSTEM SRS (Software Requirements Analysis and Specification) should identify and specify all such constraints. -->Standard Compliance: - This specifies the requirements for the standards the system must follow. The standards may include the report format and accounting properties. -->Hardware Limitations: - The software may have to operate on some existing or predetermined hardware, thus imposing restrictions on the design. Hardware limitations can include the types of machines to be used, operating system available on the system, languages supported and limits on primary and secondary storage.  -->got to know how to move forward in any certain situation and way of talking with higher management",Master of Business Administration - MBA,project presentation
"Sri Sai Raghavendra Degree College, Nizamabad (5029)",Jun 2017,Dec 2020,"handled above 300 people, students and staff members in freshers party , with the role of anchoring. it work the good experience to manage and handle with one voice.  got to know how to manage the problems on stage and soo on..",Bachelor's degree,taken management role in freshers party
sri kakatiya junior college,Jun 2015,Apr 2017,interested in knowing new things,intermediate,eager to learn new things
Wisdom High School,Jun 2014,Mar 2015,"interest in game volley ball, got first price in team with Godavari",ssc,volley ball
